"";"codeGeo";"libgeo_cp"
"290";"10300";"STE SAVINE"
"291";"94450";"LIMEIL BREVANNES"
"292";"91660";"MEREVILLE"
"293";"38410";"ST MARTIN D URIAGE"
"294";"02C02";"RIBEMONT/MOY DE L AISNE"
"295";"22000";"ST BRIEUC"
"296";"9C054";NA
"297";"93260";"LES LILAS"
"298";"91450";"SOISY SUR SEINE"
"299";"02880";"CROUY"
"300";"94470";"BOISSY ST LEGER"
"301";"91190";"GIF SUR YVETTE"
"302";"37000";"TOURS"
"303";"94500";"CHAMPIGNY SUR MARNE"
"304";"80480";"SALOUEL"
"305";"92340";"BOURG LA REINE"
"306";"51210";"MONTMIRAIL"
"307";"9A011";NA
"308";"91580";"ETRECHY"
"309";"75999";NA
"310";"78990";"ELANCOURT"
"311";"52100";"ST DIZIER"
"312";"93230";"ROMAINVILLE"
"313";"28000";"CHARTRES"
"314";"34000";"MONTPELLIER"
"315";"91330";"YERRES"
"316";"91540";"MENNECY"
"317";"62820";"LIBERCOURT"
"318";"60190";"ESTREES ST DENIS"
"319";"99140";NA
"320";"65140";"RABASTENS DE BIGORRE"
"321";"14C03";"VILLERVILLE/HONFLEUR"
"322";"60580";"COYE LA FORET"
"323";"12130";"ST GENIEZ D OLT"
"324";"60290";"LAIGNEVILLE"
"325";"89150";"ST VALERIEN"
"326";"89520";"ST SAUVEUR EN PUISAYE"
"327";"95660";"CHAMPAGNE SUR OISE"
"328";"77185";"LOGNES"
"329";"95290";"L ISLE ADAM"
"330";"60420";"MAIGNELAY MONTIGNY"
"331";"99240";NA
"332";"91240";"ST MICHEL SUR ORGE"
"333";"83600";"FREJUS"
"334";"91440";"BURES SUR YVETTE"
"335";"60130";"ST JUST EN CHAUSSEE"
"336";"94380";"BONNEUIL SUR MARNE"
"337";"37999";NA
"338";"9A039";NA
"339";"95430";"AUVERS SUR OISE"
"340";"78711";"MANTES LA VILLE"
"341";"77127";"LIEUSAINT"
"342";"91600";"SAVIGNY SUR ORGE"
"343";"60610";"LACROIX ST OUEN"
"344";"91120";"PALAISEAU"
"345";"02200";"SOISSONS"
"346";"92420";"VAUCRESSON"
"347";"62100";"CALAIS"
"348";"78910";"ORGERUS"
"349";"93420";"VILLEPINTE"
"350";"93350";"LE BOURGET"
"351";"78220";"VIROFLAY"
"352";"91410";"DOURDAN"
"353";"60810";"RULLY"
"354";"80250";"AILLY SUR NOYE"
"355";"28300";"MAINVILLIERS"
"356";"60270";"GOUVIEUX"
"357";"77144";"MONTEVRAIN"
"358";"95220";"HERBLAY"
"359";"91340";"OLLAINVILLE"
"360";"45300";"PITHIVIERS"
"361";"60560";"ORRY LA VILLE"
"362";"77610";"FONTENAY TRESIGNY"
"363";"95210";"ST GRATIEN"
"364";"93470";"COUBRON"
"365";"77169";"BOISSY LE CHATEL"
"366";"60520";"LA CHAPELLE EN SERVAL"
"367";"57200";"SARREGUEMINES"
"368";"78930";"GUERVILLE"
"369";"77420";"CHAMPS SUR MARNE"
"370";"9A090";NA
"371";"78370";"PLAISIR"
"372";"78490";"MONTFORT L AMAURY"
"373";"10160";"AIX EN OTHE"
"374";"78125";"GAZERAN"
"375";"91670";"ANGERVILLE"
"376";"95530";"LA FRETTE SUR SEINE"
"377";"95140";"GARGES LES GONESSE"
"378";"78550";"HOUDAN"
"379";"78117";"CHATEAUFORT"
"380";"94440";"VILLECRESNES"
"381";"94150";"RUNGIS"
"382";"59510";"HEM"
"383";"99327";NA
"384";"94300";"VINCENNES"
"385";"91590";"LA FERTE ALAIS"
"386";"95460";"EZANVILLE"
"387";"67000";"STRASBOURG"
"388";"95380";"LOUVRES"
"389";"9A030";NA
"390";"78350";"JOUY EN JOSAS"
"391";"77163";"MORTCERF"
"392";"68460";"LUTTERBACH"
"393";"02310";"CHARLY SUR MARNE"
"394";"78114";"MAGNY LES HAMEAUX"
"395";"81170";"CORDES SUR CIEL"
"396";"45400";"FLEURY LES AUBRAIS"
"397";"95510";"AINCOURT"
"398";"47600";"NERAC"
"399";"28150";"VOVES"
"400";"95170";"DEUIL LA BARRE"
"401";"78360";"MONTESSON"
"402";"77186";"NOISIEL"
"403";"77840";"CROUY SUR OURCQ"
"404";"02390";"ORIGNY STE BENOITE"
"405";"80700";"ROYE"
"406";"91650";"BREUILLET"
"407";"60180";"NOGENT SUR OISE"
"408";"95880";"ENGHIEN LES BAINS"
"409";"91C04";"BOUVILLE/BOUTIGNY SUR ESSONNE"
"410";"77C07";"VILLENEUVE LES BORDES/SALINS"
"411";"91480";"QUINCY SOUS SENART"
"412";"95300";"PONTOISE"
"413";"76220";"GOURNAY EN BRAY"
"414";"9C000";NA
"415";"78955";"CARRIERES SOUS POISSY"
"416";"77220";"TOURNAN EN BRIE"
"417";"95360";"MONTMAGNY"
"418";"91370";"VERRIERES LE BUISSON"
"419";"77550";"MOISSY CRAMAYEL"
"420";"91520";"EGLY"
"421";"77920";"SAMOIS SUR SEINE"
"422";"78650";"BEYNES"
"423";"78C01";"SEPTEUIL/DAMMARTIN EN SERVE"
"424";"60260";"LAMORLAYE"
"425";"78770";"THOIRY"
"426";"94550";"CHEVILLY LARUE"
